"","Customer","TransDate","Quantity","PurchAmount","Cost","TransID"
"37",105623,"19.07.2011",1,39.95,14.03,128749873
"38",139220,"21.12.2009",1,29.95,11.47,127836178
"39",138991,"09.10.2009",1,129.95,63.08,127520942
"40",183834,"04.05.2012",1,99.95,41.05,129351555
"41",168851,"17.12.2007",1,299.95,145,128699485
"42",166441,"19.11.2007",1,149.95,75,128613428
"43",142937,"12.08.2009",1,49.95,18,127753495
"44",124085,"12.08.2007",1,129.95,61.11,125558303
"45",163946,"26.01.2011",1,99.95,50.95,128515943
"46",131437,"11.02.2008",1,24.95,8.84,126047593
"47",186902,"16.10.2009",1,49.95,24.25,129966852
"48",104864,"12.09.2006",1,39.95,18,124438871
"49",151070,"11.09.2010",1,69.95,16,131289739
"50",134838,"13.12.2008",1,79.95,32.45,126239556
"51",131698,"04.08.2008",1,99.95,45,128790214
"52",160633,"01.09.2007",1,99.95,43,128374988
"53",196006,"25.08.2011",3,35.85,9,131589047
"54",183871,"04.09.2012",1,59.95,26.9,129355898
"55",118529,"26.05.2007",1,69.95,18.75,125225012
"56",123412,"12.04.2007",1,19.95,7.6,125525309
"57",197957,"23.07.2012",1,169.95,70.3,131936828
"58",114804,"12.06.2006",1,24.95,7.5,124981732
"59",197713,"02.09.2012",1,49.95,31.16,131820771
"60",153636,"18.07.2009",1,59.95,15.98,129212513
"61",179436,"19.02.2009",1,99.95,42.78,129127721
"62",189906,"18.11.2011",1,99.95,45,131685625
"63",148689,"11.02.2005",1,59.95,22.5,127979644
"64",104201,"29.11.2006",1,69.95,30,124424002
"65",146439,"15.02.2010",1,59.95,46,127906233
"66",196823,"14.11.2011",1,29.95,14.57,131671477
"67",126648,"02.06.2008",1,99.95,50,125711314
"68",145873,"28.01.2010",1,99.95,43.5,127885559
"69",141757,"12.01.2009",1,24.95,11.25,127696337
"70",165826,"11.08.2007",1,39.95,17.14,128591879
"71",131505,"11.04.2008",1,99.95,55,126050896
"72",143638,"13.12.2009",1,29.95,17.95,127788957
"73",189377,"12.01.2010",1,49.95,23.38,130668321
"74",182892,"19.02.2012",1,59.95,22.8,129289448
"75",125359,"16.12.2007",1,74.95,35,125620748
"76",163396,"01.08.2011",1,59.95,29,128489485
"77",117620,"21.03.2007",1,99.95,50,125162127
"78",189454,"14.11.2011",1,39.95,19,130675623
"79",175398,"19.11.2011",1,49.95,24.93,128983717
"80",115031,"12.08.2006",1,99.95,34.15,124999442
"81",179038,"12.09.2011",1,39.95,16.98,129109646
"82",176965,"12.05.2008",1,45,18.9,129034166
"83",111114,"25.07.2006",1,69.95,37.5,124755029
"84",130078,"19.08.2008",1,79.95,39,125949961
"85",188762,"08.05.2011",1,129.95,65,130028704
"86",130786,"29.09.2008",1,89.95,33.4,126002453
"87",190690,"27.12.2009",1,79.95,40.18,131053960
"88",141621,"30.11.2009",1,39.95,12.5,127689005
"89",134905,"13.12.2008",1,35,17.5,126243153
"90",195112,"29.03.2011",1,29.95,8.4,131485834
"91",158725,"12.01.2006",1,89.95,37.8,128318146
"92",155011,"05.11.2005",1,59.95,25,129868132
"93",113143,"17.11.2006",1,54.95,27.72,124896632
"94",187728,"22.07.2010",1,79.95,31.27,129993588
"95",198844,"05.09.2012",1,59.95,23.79,131881748
"96",123828,"12.07.2007",1,19.95,7.6,125546214
"97",182367,"11.11.2010",1,69.95,29.4,131292645
"98",159160,"12.03.2010",1,19.95,6.4,128330310
"99",137981,"17.06.2009",1,29.95,12.35,126480656
"100",168224,"12.08.2007",1,34.95,13.5,128676940
"101",113594,"06.06.2011",1,9.95,0,131530287
"102",121769,"19.11.2007",1,49.95,25,125440717
"103",102633,"12.04.2005",1,24.95,9,124389090
"104",109608,"03.01.2006",1,29.95,14,124589560
"105",103444,"23.05.2008",1,49.95,20.3,125845069
"106",185585,"22.07.2012",1,34.95,7.24,129507243
"107",175309,"18.11.2008",1,49.95,19.36,128980646
"108",194239,"13.12.2010",1,39.95,13.84,131391020
"109",103427,"24.10.2005",1,19.95,8.57,124407115
"110",107608,"12.10.2005",1,12.95,2.7,124502440
"111",160756,"14.01.2007",1,69.95,64.61,128378910
"112",158202,"28.11.2006",1,24.95,16.28,128303452
"113",170825,"16.11.2011",1,79.95,30,131677076
"114",170857,"14.08.2011",1,149.95,60,128787973
"115",129199,"21.06.2008",1,119.95,59.9,125882877
"116",129891,"08.04.2008",1,179.95,80.9,125936202
"117",155398,"09.10.2009",1,99.95,43.14,129243610
"118",165553,"25.03.2010",1,149.95,90,131115991
"119",149143,"15.05.2010",1,29.95,9.85,127993561
"120",131172,"23.10.2008",1,149.95,65,126029129
"121",152836,"09.06.2010",1,99.95,43,128111701
"122",142043,"20.04.2009",1,69.95,22.57,129159223
"123",101713,"07.02.2005",1,59.95,24,124361177
"124",151138,"07.07.2010",1,79.95,15.4,128051804
"125",100341,"30.12.2004",1,19.95,15,124295566
"126",180337,"26.07.2010",1,24.95,7.25,131200000
"127",199836,"02.07.2012",1,19.95,9.5,132475423
"128",104078,"11.08.2005",1,9.95,3.26,124421809
"129",193288,"22.11.2010",1,99.95,38.34,131319752
"130",110560,"06.02.2006",1,11.95,2.99,124713417
"131",193593,"12.01.2010",1,49.95,25,131342378
"132",170578,"08.06.2011",1,29.95,20.49,128776381
"133",157447,"26.11.2010",1,69.95,57.17,128282357
"134",182775,"27.10.2009",1,69.95,26.6,129284452
"135",105929,"30.11.2005",1,9.95,1,124463034
"136",142558,"12.07.2009",1,24.95,10.25,127735902
"137",105809,"29.11.2005",1,24.95,5.85,124460174
"138",164204,"02.01.2011",1,7.95,2.56,128526580
"139",189039,"28.02.2012",1,69.95,16,130049454
"140",127151,"30.09.2009",1,39.95,15,129257595
"141",196732,"11.08.2011",1,4.95,1.08,131662527
"142",112854,"11.11.2006",1,34.95,18,124879298
"143",185524,"19.07.2012",1,14.95,15.56,129502485
"144",145064,"02.03.2005",1,24.95,12.5,127859561
"145",151872,"30.07.2010",1,99.95,41.65,128074643
"146",176444,"27.11.2011",1,4.95,2.19,129017964
"147",105569,"20.12.2006",2,79.9,37,124454847
"148",160329,"12.08.2010",1,29.95,13.8,128364293
"149",111040,"17.07.2006",1,44.95,45,124749449
"150",153992,"18.05.2006",1,129.95,60,128156547
"151",138545,"30.07.2009",1,99.95,52,127482720
"152",159100,"03.07.2012",1,149.95,60.95,129311385
"153",155935,"14.11.2010",1,4.95,1.08,128234232
"154",107316,"12.08.2005",1,49.95,25,124495333
"155",102593,"12.03.2005",1,39.95,31.96,124388171
"156",149277,"18.05.2010",1,39.95,19.5,127997415
"157",106108,"22.02.2011",1,299.95,180,131461852
"158",144714,"07.07.2008",1,29.95,12,128852554
"159",158092,"27.11.2006",1,34.95,14,128300384
"160",152191,"23.09.2005",1,129.95,65,129871471
"161",141096,"04.05.2008",1,49.95,18.71,128787805
"162",194323,"14.12.2010",1,3.95,2,131398381
"163",146440,"07.05.2012",1,59.95,33,130057689
"164",119058,"15.12.2011",1,59.95,18.06,131769354
"165",187437,"11.02.2010",1,49.95,9.53,130003618
"166",178121,"12.05.2011",1,21.95,6.91,129073128
"167",160595,"01.08.2007",1,29.95,9.74,128373512
"168",127273,"03.10.2008",1,79.95,34.65,125749498
"169",110857,"08.09.2006",1,39.95,16,124766203
"170",153056,"09.12.2010",1,29.95,10.36,128119124
"171",186407,"13.06.2005",1,24.95,10,129868681
"172",134802,"12.12.2008",1,24.95,9.75,126237177
"173",147978,"05.10.2010",1,549.95,288.75,127989389
"174",184893,"06.12.2012",1,39.95,17.97,129449879
"175",138166,"02.02.2010",1,29.95,13.45,127890462
"176",131483,"10.02.2010",1,79.95,37.2,131246025
"177",138050,"24.06.2009",1,29.95,10.3,126486806
"178",171825,"02.03.2009",1,149.95,63,129118081
"179",132195,"18.11.2008",1,149.95,68,126095112
"180",166361,"11.09.2010",1,39.95,14.03,131289460
"181",144610,"15.08.2008",1,69.95,20.75,128880332
"182",168473,"12.11.2007",1,79.95,40,128685648
"183",161549,"24.11.2009",1,29.95,12,130981143
"184",143911,"14.12.2009",1,49.95,25.76,127801499
"185",122134,"25.11.2007",1,3.95,1.73,125463055
"186",182660,"22.10.2009",1,69.95,30.1,129279091
"187",103880,"11.04.2005",1,14.95,4.4,124417210
"188",198295,"09.05.2012",1,39.95,19,131963228
"189",196399,"16.10.2011",1,29.95,10.75,131629253
"190",183988,"19.04.2012",1,99.95,42,129366392
"191",105163,"04.10.2006",1,69.95,30,128140343
"192",145994,"02.01.2010",1,29.95,12.6,127889423
"193",187254,"08.02.2010",1,149.95,53.55,129994787
"194",172997,"17.10.2011",1,79.95,31.25,128890327
"195",140749,"12.12.2010",1,79.95,14.4,128392436
"196",103526,"27.10.2005",1,34.95,16.85,124409234
"197",125195,"15.12.2007",1,19.95,7.6,125612372
"198",142249,"12.05.2009",1,59.95,27,127721126
"199",133784,"12.05.2008",1,49.95,24.5,126183915
"200",193251,"22.11.2010",1,29.95,14.89,131317730
"201",150648,"20.05.2012",1,24.95,9.49,131890691
"202",124001,"12.08.2007",1,24.95,9.2,125554571
"203",122034,"24.11.2007",1,199.95,68.95,125457609
"204",126494,"29.01.2008",1,24.95,11.43,125701029
